SDSname,SDSid
SDS1,084c793800000002
SDS2,084c793700000001
SDS3,084c793600000000

devId,devName,devSdsId,devCurrentPath
7d39b2da00020000,sds1_sdb_dev,084c793800000002,/dev/sdb
7d37b2d900010000,sds2_sdb_dev,084c793700000001,/dev/sdb
7d37b2d800000000,sds3_sdb_devp,084c793600000000,/dev/sdb

Timestamp,7d39b2da00020000 totalWriteBwcnumSeconds,7d39b2da00020000 totalWriteBwctotalWeightInKb,7d39b2da00020000 totalWriteBwcnumOccured,7d39b2da00020000 avgWriteLatencyInMicrosec,7d39b2da00020000 totalReadBwcnumSeconds,7d39b2da00020000 totalReadBwctotalWeightInKb,7d39b2da00020000 totalReadBwcnumOccured,7d39b2da00020000 avgReadLatencyInMicrosec,7d37b2d900010000 totalWriteBwcnumSeconds,7d37b2d900010000 totalWriteBwctotalWeightInKb,7d37b2d900010000 totalWriteBwcnumOccured,7d37b2d900010000 avgWriteLatencyInMicrosec,7d37b2d900010000 totalReadBwcnumSeconds,7d37b2d900010000 totalReadBwctotalWeightInKb,7d37b2d900010000 totalReadBwcnumOccured,7d37b2d900010000 avgReadLatencyInMicrosec,7d37b2d800000000 totalWriteBwcnumSeconds,7d37b2d800000000 totalWriteBwctotalWeightInKb,7d37b2d800000000 totalWriteBwcnumOccured,7d37b2d800000000 avgWriteLatencyInMicrosec,7d37b2d800000000 totalReadBwcnumSeconds,7d37b2d800000000 totalReadBwctotalWeightInKb,7d37b2d800000000 totalReadBwcnumOccured,7d37b2d800000000 avgReadLatencyInMicrosec
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-00,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-01,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
18-25-02,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,4028
